-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
128,2.7825,2.9983,3.4389,3.0234,3.2929,3.6331,3.3572,3.2273,2.7542,3.3316,3.2764,3.2677,0,0,0,0
129,2.3635,2.3163,1.6691,1.6912,1.7924,2.0859,1.7205,1.9579,2.35,1.9037,2.6825,2.8219,0,0,0,0
130,3.2733,3.1549,3.11,2.8737,2.8647,3.2806,2.8244,2.6838,2.8265,2.4723,3.0325,3.629,0,0,0,0
131,1.6014,1.4316,1.2663,1.2574,1.4601,1.5438,1.4693,1.4991,1.3908,1.3874,1.6061,1.3915,0,0,0,0
132,3.0862,3.2514,2.909,2.8305,2.9087,3.0062,3.0957,3.1449,3.2625,2.7477,3.011,3.432,0,0,0,0
133,3.2099,3.0468,2.4097,2.7233,2.8003,3.05,2.6196,2.4128,2.4826,2.1489,2.7946,3.1587,0,0,0,0
134,3.4865,3.5272,3.6545,3.3067,3.9086,3.7406,3.5321,3.6963,3.3993,3.7178,3.7088,3.7763,0,0,0,0
135,3.8016,4.4551,3.0084,3.893,4.3614,4.0864,4.7149,4.1198,4.6705,4.0016,4.5511,4.6935,0,0,0,0
136,1.3929,1.2079,0.80524,0.83797,1.0566,0.77295,1.0712,0.9426,0.96373,0.94484,1.2001,1.313,0,0,0,0
137,3.0374,2.8803,2.3083,2.7167,2.5346,2.7296,2.608,2.497,2.3034,2.3903,2.6071,2.9327,0,0,0,0
138,0.85918,0.73583,0.4496,0.43614,0.7011,0.37335,0.86506,0.61759,0.66582,0.58077,0.59036,0.85756,0,0,0,0
139,2.3116,2.3759,2.2049,2.2447,2.2528,2.232,1.5369,1.7518,1.3108,1.9551,2.0872,2.3807,0,0,0,0
140,3.3922,2.7605,3.3605,3.0637,3.0528,3.4883,3.4025,3.0763,3.251,2.9718,2.8213,3.0913,0,0,0,0
141,0.489,0.29667,0.22845,0.20036,0.26108,0.34015,0.27302,0.18621,0.40791,0.21346,0.18347,0.40944,0,0,0,0
142,0.33453,0.20031,0.13466,0.14033,0.16128,0.14146,0.15736,0.16404,0.17529,0.15366,0.42125,0.3571,0,0,0,0
143,1.5026,1.2688,0.89043,1.0997,1.0778,1.0367,0.85036,1.1236,1.5285,1.0256,1.9473,1.9223,0,0,0,0
144,2.289,2.0362,1.421,1.4919,1.8244,1.7689,1.3869,1.3255,1.2928,1.1158,1.8445,2.0632,0,0,0,0
145,2.1835,1.976,1.9372,1.7668,2.1131,1.7607,2.0129,1.6208,2.2378,1.797,2.327,2.4798,0,0,0,0
146,1.8002,1.7807,1.2384,1.7675,2.0138,1.6091,1.4829,1.3696,2.2523,1.5888,2.9849,2.7843,0,0,0,0
147,2.0268,1.7682,1.0538,1.1866,1.5406,1.3277,0.93117,1.225,0.78881,0.90492,1.6285,1.6134,0,0,0,0
148,2.6982,2.652,1.8811,2.5462,3.0946,2.1668,2.1593,2.0093,3.0604,2.1337,3.6203,3.8333,0,0,0,0
149,2.9597,3.162,2.3844,2.6877,2.6773,2.7828,1.8788,2.5708,2.0938,2.2314,2.9563,2.8041,0,0,0,0
150,2.9906,3.0694,2.6572,2.8883,3.6287,2.9583,3.2045,2.6344,3.4091,2.7753,3.6251,3.8398,0,0,0,0
151,3.1918,2.9412,3.3402,3.2975,3.2302,3.6308,3.0436,2.998,3.053,2.8784,3.2324,3.4918,0,0,0,0
152,2.735,2.8038,2.0735,2.7444,3.2365,2.4619,2.4323,2.5581,3.1867,2.5468,3.5571,3.6957,0,0,0,0
153,1.6069,1.7705,1.2742,1.7016,1.9353,1.5335,0.99567,1.3817,1.9134,1.4316,2.3338,2.458,0,0,0,0
154,3.3308,3.5663,2.5912,3.349,3.0805,3.0882,2.2164,3.0897,2.4466,2.6699,3.3018,3.065,0,0,0,0
155,2.7286,2.87,2.6262,2.6979,3.3028,2.8857,2.7449,2.4096,3.0258,2.7236,3.0984,3.3308,0,0,0,0
156,3.0665,3.145,3.1992,3.3782,3.3438,3.4336,2.9016,3.2011,3.1691,2.9887,3.5601,3.7082,0,0,0,0
157,2.7937,3.0524,2.5419,2.9878,2.8958,2.9623,2.3972,2.9013,2.6139,2.6125,3.2049,3.3711,0,0,0,0
158,3.6824,3.7806,2.814,3.7607,4.2873,3.9572,3.2258,3.2657,4.1699,3.5135,4.2482,4.291,0,0,0,0
159,3.1554,3.067,3.3083,3.2023,3.654,3.5426,3.5391,3.1727,3.4214,3.1326,2.9134,3.4707,0,0,0,0
160,2.0687,2.2765,1.6068,2.1148,1.8701,1.9782,1.3939,1.9538,1.6504,1.8122,2.1354,2.1103,0,0,0,0
161,2.8671,2.6411,2.5022,2.3505,2.7077,2.5662,2.6521,2.8492,2.5744,2.4363,3.0012,2.6845,0,0,0,0
162,4.0056,4.8305,3.2463,3.8295,4.4608,4.0233,4.6626,4.2621,4.5455,3.9837,4.233,4.6492,0,0,0,0
163,1.2582,0.9812,0.60094,0.70202,0.8932,0.60655,0.90228,0.77887,0.8422,0.77205,1.0052,1.0848,0,0,0,0
164,2.2173,2.1251,1.7363,1.9455,1.853,2.0598,1.8796,1.7919,1.7601,1.7048,1.8793,2.102,0,0,0,0
165,2.5091,2.4327,2.0848,2.2449,2.3136,2.4153,2.1297,2.0902,1.887,2.1007,2.2661,2.5398,0,0,0,0
166,3.0342,2.5782,3.0944,2.6486,2.9341,3.2948,3.0392,2.6537,2.9123,2.6574,2.4763,2.7123,0,0,0,0
